threshold,true_negative,false_positive,false_negative,true_positive,precision,recall,specificity,false_positive_rate,false_negative_rate,f1,roc_auc,pr_auc,positive_rate,n_rows,n_positive,n_negative,model,split,prediction_file
0.1,2719797,57773,96,23,0.0003979514153228597,0.19327731092436976,0.9792001641722801,0.020799835827719913,0.8067226890756303,0.0007942674609341275,0.8380996426263776,0.0016145422805882179,4.2841369210159955e-05,2777689,119,2777570,LightGBM,validation,C:\Users\markc\Documents\DistributedCompProject2\LANL\model_outputs\lightgbm_model\validation_test_predictions.csv
0.1,2720036,57535,91,28,0.00048642357069645433,0.23529411764705882,0.9792858580392725,0.020714141960727555,0.7647058823529411,0.0009708401234353872,0.8812031048263502,0.03904508624183807,4.284135378677966e-05,2777690,119,2777571,LightGBM,test,C:\Users\markc\Documents\DistributedCompProject2\LANL\model_outputs\lightgbm_model\validation_test_predictions.csv
